UniRef100_A0A023HHK9	A0A023HHK9
UniRef100_A0A023HHL0	A0A023HHL0
UniRef100_A0A023HJ61	A0A023HJ61
UniRef100_A0A023I7F4	A0A023I7F4
UniRef100_A0A023I7H2	A0A023I7H2
UniRef100_A0A023I7H5	A0A023I7H5
UniRef100_A0A023I7J4	A0A023I7J4
UniRef100_A0A023I7L8	A0A023I7L8
UniRef100_A0A023I7N5	A0A023I7N5
UniRef100_A0A023I7N7	A0A023I7N7
UniRef100_A0A023I7N8	A0A023I7N8
UniRef100_A0A023I7R1	A0A023I7R1
UniRef100_A0A023I7R3	A0A023I7R3
UniRef100_A0A023I7V4	A0A023I7V4
UniRef100_A0A023I7Z4	A0A023I7Z4
UniRef100_A0A023I807	A0A023I807
UniRef100_A0A023I825	A0A023I825
UniRef100_A0A023I845	A0A023I845
UniRef100_A0A023I852	A0A023I852
UniRef100_A0A023I885	A0A023I885
UniRef100_A0A023I889	A0A023I889
UniRef100_A0A023I890	A0A023I890
UniRef100_A0A023I8C1	A0A023I8C1
UniRef100_A0A023I8C2	A0A023I8C2
UniRef100_A0A023I8E0	A0A023I8E0
UniRef100_A0A023I8F1	A0A023I8F1
UniRef100_A0A023I8F6	A0A023I8F6
UniRef100_A0A023I8I7	A0A023I8I7
UniRef100_A0A023I8J4	A0A023I8J4
UniRef100_A0A023I8L7	A0A023I8L7
UniRef100_A0A023I8M0	A0A023I8M0
UniRef100_A0A023I8N0	A0A023I8N0
UniRef100_A0A023I8N5	A0A023I8N5
UniRef100_A0A023I8P3	A0A023I8P3
UniRef100_A0A023I8R5	A0A023I8R5
UniRef100_A0A023I8U4	A0A023I8U4
UniRef100_A0A023I8X8	A0A023I8X8
UniRef100_A0A023I8Y9	A0A023I8Y9
UniRef100_A0A023I900	A0A023I900
UniRef100_A0A023I903	A0A023I903
UniRef100_A0A023I905	A0A023I905
UniRef100_A0A023I918	A0A023I918
UniRef100_A0A023I930	A0A023I930
UniRef100_A0A023I954	A0A023I954
UniRef100_A0A023I985	A0A023I985
UniRef100_A0A023I989	A0A023I989
UniRef100_A0A023I993	A0A023I993
UniRef100_A0A023I9A1	A0A023I9A1
UniRef100_A0A023I9A5	A0A023I9A5
UniRef100_A0A023I9B6	A0A023I9B6
UniRef100_A0A023IN41	A0A023IN41; Q8NI08-5; H0Y5F6
UniRef100_A0A023IP89	A0A023IP89; UPI0001D5FE2F
UniRef100_A0A023IPH8	A0A023IPH8
UniRef100_A0A023IPI3	A0A023IPI3; G4Y4B2; G4Y3Y4; G4Y3Y5; A0A023IPH2; A0A023IP90; UPI000350B6A4; A0A023IQJ5; A0A023IQJ3; A0A023IPA8
UniRef100_A0A023IQH3	A0A023IQH3
UniRef100_A0A023IQJ1	A0A023IQJ1; UPI0003ABAE7D; A0A023IPD5; UPI0003ABC74E
UniRef100_A0A023IQK0	A0A023IQK0; UPI0004F230C7
UniRef100_A0A023J8Y7	A0A023J8Y7
UniRef100_A0A023JC58	A0A023JC58; UPI0002C62EF3
UniRef100_A0A023JDV9	A0A023JDV9
UniRef100_A0A023JDW0	A0A023JDW0; UPI0004F4A917
UniRef100_A0A023NF12	A0A023NF12; V6AQ63
UniRef100_A0A023PPR2	A0A023PPR2
UniRef100_A0A023Q2F1	A0A023Q2F1
UniRef100_A0A023Q2M3	A0A023Q2M3
UniRef100_A0A023Q2S3	A0A023Q2S3
UniRef100_A0A023Q3I2	A0A023Q3I2
UniRef100_A0A023Q3L7	A0A023Q3L7
UniRef100_A0A023Q3M6	A0A023Q3M6
UniRef100_A0A023Q460	A0A023Q460
UniRef100_A0A023Q469	A0A023Q469
UniRef100_A0A023Q4H9	A0A023Q4H9
UniRef100_A0A023Q4K2	A0A023Q4K2; Q4EZD1
UniRef100_A0A023Q4U0	A0A023Q4U0
UniRef100_A0A023Q552	A0A023Q552
UniRef100_A0A023Q568	A0A023Q568
UniRef100_A0A023Q5F4	A0A023Q5F4
UniRef100_A0A023Q5S8	A0A023Q5S8
UniRef100_A0A023Q694	A0A023Q694
UniRef100_A0A023Q6C7	A0A023Q6C7
UniRef100_A0A023Q6C9	A0A023Q6C9; A0A075X709
UniRef100_A0A023Q6D2	A0A023Q6D2
UniRef100_A0A023Q6E7	A0A023Q6E7
UniRef100_A0A023Q6G1	A0A023Q6G1; Q4EZC5; H9M4C7
UniRef100_A0A023Q6J7	A0A023Q6J7
UniRef100_A0A023Q6U7	A0A023Q6U7
UniRef100_A0A023Q6X3	A0A023Q6X3
UniRef100_A0A023Q700	A0A023Q700
UniRef100_A0A023Q756	A0A023Q756
UniRef100_A0A023Q788	A0A023Q788
UniRef100_A0A023Q797	A0A023Q797; Q4EZ60
UniRef100_A0A023Q7H2	A0A023Q7H2
UniRef100_A0A023Q7H6	A0A023Q7H6
UniRef100_A0A023Q7K9	A0A023Q7K9
UniRef100_A0A023Q7P2	A0A023Q7P2
UniRef100_A0A023Q7R1	A0A023Q7R1
UniRef100_A0A023Q875	A0A023Q875
UniRef100_A0A023Q8B2	A0A023Q8B2
UniRef100_A0A023Q8F3	A0A023Q8F3
UniRef100_A0A023Q8L4	A0A023Q8L4
UniRef100_A0A023Q8P7	A0A023Q8P7
UniRef100_A0A023Q8X7	A0A023Q8X7
UniRef100_A0A023Q9F0	A0A023Q9F0
UniRef100_A0A023Q9G1	A0A023Q9G1
UniRef100_A0A023Q9X5	A0A023Q9X5
UniRef100_A0A023QA97	A0A023QA97
UniRef100_A0A023QAS9	A0A023QAS9
UniRef100_A0A023QAT6	A0A023QAT6
UniRef100_A0A023QB70	A0A023QB70
UniRef100_A0A023QBA5	A0A023QBA5
UniRef100_A0A023QBI1	A0A023QBI1; X5D634
UniRef100_A0A023QBJ9	A0A023QBJ9
UniRef100_A0A023QC18	A0A023QC18
UniRef100_A0A023QCF8	A0A023QCF8
UniRef100_A0A023QCK0	A0A023QCK0
UniRef100_A0A023QCY0	A0A023QCY0
UniRef100_A0A023QCZ2	A0A023QCZ2
UniRef100_A0A023QD05	A0A023QD05
UniRef100_A0A023QDH4	A0A023QDH4
UniRef100_A0A023QE67	A0A023QE67
UniRef100_A0A023QEM9	A0A023QEM9
UniRef100_A0A023QEQ5	A0A023QEQ5
UniRef100_A0A023QEV0	A0A023QEV0
UniRef100_A0A023QFF6	A0A023QFF6
UniRef100_A0A023QFH0	A0A023QFH0
UniRef100_A0A023QFT1	A0A023QFT1
UniRef100_A0A023QFT6	A0A023QFT6
UniRef100_A0A023QFX6	A0A023QFX6
UniRef100_A0A023QG09	A0A023QG09
UniRef100_A0A023QG73	A0A023QG73
UniRef100_A0A023QGA7	A0A023QGA7
UniRef100_A0A023QGC0	A0A023QGC0
UniRef100_A0A023QGG0	A0A023QGG0
UniRef100_A0A023QGK4	A0A023QGK4
UniRef100_A0A023QGP6	A0A023QGP6
UniRef100_A0A023QGP7	A0A023QGP7
UniRef100_A0A023QH23	A0A023QH23
UniRef100_A0A023QHC9	A0A023QHC9
UniRef100_A0A023QHD1	A0A023QHD1
UniRef100_A0A023QHN5	A0A023QHN5
UniRef100_A0A023QHY5	A0A023QHY5
UniRef100_A0A023QIL7	A0A023QIL7
UniRef100_A0A023QIP2	A0A023QIP2
UniRef100_A0A023QJS4	A0A023QJS4; X5DAU9; Q7YED9
